ITSM Environment,ITSM FQDN,ITSM Operating System,Data Source,CPU Count,CPU Type,Location,Memory,OS,OS Version,Support Stage,Days Current Stage,Aquisition Date,Lifecycle Date,Apex Hostname,Apex Has Current Metrics,Apex Dashboard Url,Source Url
Production,wp000082552.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082552,true,https://apex.optum.com/hostview?host=wp000082552,/infrared/wp000082552
Production,wp000082553.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082553,true,https://apex.optum.com/hostview?host=wp000082553,/infrared/wp000082553
Production,wp000082554.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082554,true,https://apex.optum.com/hostview?host=wp000082554,/infrared/wp000082554
Production,wp000082583.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,6,,ELR,12,windows,Microsoft 2019,Steady State,,,,wp000082583,true,https://apex.optum.com/hostview?host=wp000082583,/infrared/wp000082583
Production,wp000082584.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082584,true,https://apex.optum.com/hostview?host=wp000082584,/infrared/wp000082584
Production,wp000082585.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082585,true,https://apex.optum.com/hostview?host=wp000082585,/infrared/wp000082585
Production,wp000082586.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,4,,ELR,16,windows,Microsoft 2019,Steady State,,,,wp000082586,true,https://apex.optum.com/hostview?host=wp000082586,/infrared/wp000082586
Production,wp000082608.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,8,,ELR,64,windows,Microsoft 2019,Steady State,,,,wp000082608,true,https://apex.optum.com/hostview?host=wp000082608,/infrared/wp000082608
Production,wp000082609.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,8,,ELR,64,windows,Microsoft 2019,Steady State,,,,wp000082609,true,https://apex.optum.com/hostview?host=wp000082609,/infrared/wp000082609
Production,wp000082609cls.ms.ds.uhc.com,,InfraRED,8,,elr,64,windows,,Steady State,,,,wp000082609cls,false,https://apex.optum.com/hostview?host=wp000082609cls,/infrared/wp000082609cls
Production,wp000082610.ms.ds.uhc.com,Microsoft windows 2019,InfraRED,8,,CTC,64,windows,Microsoft 2019,Steady State,,,,wp000082610,true,https://apex.optum.com/hostview?host=wp000082610,/infrared/wp000082610
